Hillerød;24
Allerød;30
Birkerød;34
Holte;39
Lyngby;44
Hellerup;50
Svanemøllen;52
Nordhavn;54
Østerport;57
Nørreport;59
Vesterport;1
København H;4
Dybbølsbro;6
Sydhavn;9
Sjælør;10
Ny Ellebjerg;12
Åmarken;14
Friheden;16
Avedøre;18
Brøndby Strand;21
Vallensbæk;23
Ishøj;26
Hundige;28
Greve;31
Karlslunde;34
Solrød Strand;38
NA;NA
Farum;22
Værløse;25
Hareskov;29
Skovbrynet;31
Bagsværd;33
Stengården;34
Buddinge;36
Kildebakke;38
Vangede;40
Dyssegård;41
Emdrup;43
Ryparken;46
Svanemøllen;48
Nordhavn;50
Østerport;53
Nørreport;55
Vesterport;57
København H;0
Dybbølsbro;2
Enghave;4
Valby;6
Danshøj;8
Hvidovre;10
Rødovre;12
Brøndbyøster;13
Glostrup;16
Albertslund;19
Taastrup;22
Høje Taastrup;25
NA;NA
Klampenborg;26
Ordrup;28
Charlottenlund;30
Hellerup;34
Svanemøllen;36
Nordhavn;38
Østerport;41
Nørreport;43
Vesterport;45
København H;48
Dybbølsbro;50
Enghave;52
Valby;54
Langgade;56
Peter Bangs Vej;58
Flintholm;59
Vanløse;1
Jyllingevej;2
Islev;4
Husum;6
Herlev;8
Skovlunde;11
Malmparken;12
Ballerup;15
Måløv;18
Kildedal;20
Veksø;22
Stenløse;26
Gl. Toftegård;28
Ølstykke;30
Frederikssund;36
NA;NA
Holte;21
Virum;23
Sorgenfri;26
Lyngby;28
Jægersborg;31
Gentofte;33
Bernstorffsvej;35
Hellerup;38
Svanemøllen;40
Nordhavn;42
Østerport;45
Nørreport;47
Vesterport;49
København H;52
Dybbølsbro;54
Sydhavn;57
Sjælør;58
Ny Ellebjerg;0
Friheden;3
Ishøj;9
Hundige;12
Greve;15
Karlslunde;17
Solrød Strand;21
Jersie;23
Ølby;27
Køge;31
NA;NA
Farum;8
Værløse;11
Hareskov;15
Skovbrynet;17
Bagsværd;19
Stengården;20
Buddinge;22
Kildebakke;24
Vangede;26
Dyssegård;27
Emdrup;29
Ryparken;32
Svanemøllen;34
Nordhavn;36
Østerport;39
Nørreport;41
Vesterport;43
København H;46
Dybbølsbro;48
Enghave;50
Valby;52
Flintholm;56
Vanløse;58
Husum;1
Herlev;3
Malmparken;7
Ballerup;9
Måløv;12
Veksø;16
Stenløse;19
Gl. Toftegård;21
Ølstykke;24
Frederikssund;29
NA;NA
Hellerup;7
Ryparken;9
Bispebjerg;11
Nørrebro;12
Fuglebakken;14
Grøndal;15
Flintholm;17
KB Hallen;18
Ålholm;20
Danshøj;21
Vigerslev Allé;22
Ny Ellebjerg;24